"","node","type"
"1","ADAM28","gene"
"2","AIM2","gene"
"3","C7","gene"
"4","CCL13","gene"
"5","CCL18","gene"
"6","CCL5","gene"
"7","CCR2","gene"
"8","CCR5","gene"
"9","CCR7","gene"
"10","CD2","gene"
"11","CD27","gene"
"12","CD3D","gene"
"13","CD52","gene"
"14","CXCL10","gene"
"15","CXCL13","gene"
"16","CXCL9","gene"
"17","EGFR","gene"
"18","EGR1","gene"
"19","ERAP2","gene"
"20","FKBP5","gene"
"21","FOSB","gene"
"22","GADD45B","gene"
"23","GZMA","gene"
"24","HAS1","gene"
"25","HLA-DOB","gene"
"26","IGLL5","gene"
"27","IL2RG","gene"
"28","IL32","gene"
"29","IL7R","gene"
"30","JUN","gene"
"31","JUNB","gene"
"32","KLF4","gene"
"33","LAMP3","gene"
"34","LAP3","gene"
"35","MMP1","gene"
"36","MS4A1","gene"
"37","MZB1","gene"
"38","NCF1","gene"
"39","NR4A1","gene"
"40","PSMB9","gene"
"41","PTPRC","gene"
"42","RASGRP1","gene"
"43","SDC1","gene"
"44","SEL1L3","gene"
"45","SEMA4D","gene"
"46","SFRP1","gene"
"47","SLAMF8","gene"
"48","SOCS3","gene"
"49","TNFRSF17","gene"
"50","TPD52","gene"
"51","TYMS","gene"
