Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM1337304	0	0.0114650268484539	0.0169983847029382	0.0407486528890536	0.0522049412890382	0	0	0.0199528230394613	0.0392177847539352	0.0205946865548549	0.0302702446133898	0	0	0.283186301089301	0.021198721936954	0.303080769877046	0	0.00594620458247186	0.0958627208143316	0.0401599108422876	0	0.0191128261664829	0	0.707852156989041	0.742341614178503
GSM1337305	0	0.0298684018646793	0.0154743065618642	0.134822676713521	0	0	0	0.00925320993319339	0.0358470389438404	0	0	0.00760354029515612	0.00715661610549696	0	0.0209963545960259	0.590482440139117	0.0261170197522622	0	0.0927764046821655	0	0	0.0296019904126781	0.001	0.346927892892932	0.94576191394362
GSM1337306	0	0	0.065526417374135	0	0	0.0142775085774802	0	0.0972176433541041	0.0905717992733523	0.0290138006500633	0	0.0336256316496255	0.0480997355203702	0	0.0278063225332256	0.397920676341197	0.00263813376212955	0.037749104167168	0.125588830530297	0.0202568793228309	0	0.00970751694402135	0.002	0.30193006927818	0.958435126556603
GSM1337307	0	0.00865712478838208	0.0116247908748534	0	0	0.038983777558407	0	0.0176853834462917	0.0333262076448164	0.0361095113408946	0.0588598207132722	0	0.182688952183328	0.044093364805726	0.0105148334133288	0.0620421808274712	0.00424625731691233	0.0084982416129025	0	0.0742744766917949	0	0.408395076781619	0	0.58666130763366	0.811555603103735
GSM1337308	0.0361881305661578	0	0.0419574070718319	0.117134421461496	0	0.028914227657572	0	0.0306700972803665	0.0495051838975156	0	0	0	0.0219339813767967	0	0.0479076774323143	0.390144359683795	0.0117720297098564	0.0186104120835858	0.0577485045935562	0.127057409687972	0	0.0204561574971841	0.002	0.310285606948101	0.956965564395028
GSM1337309	0	0	0.0414582201172554	0.0963462238548577	0	0.0512815966044789	0	0	0.0568756606779998	0	0	0.00666880991087709	0.0100885938547787	0	0.0116951401755953	0.399146044289442	0.0469046263106075	0.0165977637963349	0.238879292598409	0	0	0.0240580278093636	0	0.435893451844663	0.899921929670495
GSM1337310	0	0.0329531827099789	0.0134670630545922	0.039602081078004	0	0.0300545706497193	0	0.0137349457901466	0.0389072541649851	0	0.00116437797862289	0.000553222676362355	0	0.239553580312254	0.0242634813194666	0.505894267193544	0.000597498969276457	0	0.0569197269131176	0	0	0.00233474718993057	0	0.579038779746887	0.81672154668074
GSM1337311	0.0125100414109591	0.0135534193173774	0.0409051639350882	0.0638111738771741	0	0.0209847529811921	0	0.0610362579390986	0.0293415803664066	0	0	0.0185739904658738	0	0	0.03072920040231	0.45356646378275	0.0713061201328951	0	0.00774806837781417	0.157816725015399	0	0.0181170419956621	0	0.39082606776396	0.922042395676939
GSM1337312	0	0.0248014794021701	0.033260203045995	0.0651397479002615	0	0.0327585198729366	0	0.0434423630996546	0.0194756642042846	0	0	0.0146657638078259	0.00086794104959988	0	0.0277183508005034	0.517483160969923	0.0633248061939841	0	0.00894203808061383	0.129121774499608	0	0.0189981870726398	0.001	0.342887111210582	0.947221030598104
GSM1337313	0.00209700821743864	0.0109741252027864	0.0372152512657448	0.0713588871291462	0	0.0224010549898906	0	0.0219389408301047	0.0474786260906421	0	0	0.0186086858452827	0.0171740921407871	0.0395845286231706	0.044147962569316	0.524092396973811	0.0113260433027889	0	0	0.11705346676946	0	0.0145489300496309	0	0.37835328939978	0.930445096607235
