"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KEGG_PRIMARY_IMMUNODEFICIENCY",0.722561030399094,0.00440967959889725,9.07483948202961,1.56964404672212e-09,2.91953792690314e-07,11.9238568128993
"KEGG_ALLOGRAFT_REJECTION",0.701891082345034,0.0155462686605897,7.82221461380973,2.73198559259354e-08,1.9508313117206e-06,9.15788711094666
"KEGG_VIRAL_MYOCARDITIS",0.492364026894634,0.0114897952988731,7.69706081810219,3.67602786668645e-08,1.9508313117206e-06,8.86929718631075
"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",0.468556733735166,0.00715101872027516,7.64161552985021,4.19533615423785e-08,1.9508313117206e-06,8.74075395864873
"KEGG_LEISHMANIA_INFECTION",0.479337242143366,-0.00124357244665516,7.33502300618006,8.77410111886403e-08,3.26396561621742e-06,8.02239460104879
"KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION",0.56383698483425,0.0083477773570263,6.61429683909657,5.20440377999272e-07,1.61336517179774e-05,6.28577634231916
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",0.508425360734087,-0.00374416363472137,6.30103668744936,1.14947704002923e-06,2.9100497073539e-05,5.51191453132399
"KEGG_GRAFT_VERSUS_HOST_DISEASE",0.633044960285826,0.0298409063410308,6.2676169312971,1.25163428273286e-06,2.9100497073539e-05,5.42874761556449
"KEGG_TYPE_I_DIABETES_MELLITUS",0.527830445303033,0.0143317866005747,6.02395536417376,2.33620363970925e-06,4.51543948509724e-05,4.81913868392772
"KEGG_ASTHMA",0.548823874731326,0.0322094927766517,6.00903386694426,2.42765563714905e-06,4.51543948509724e-05,4.7816312454445
"KEGG_CELL_ADHESION_MOLECULES_CAMS",0.436204411044969,0.0208982907368375,5.5355302162071,8.28928414635068e-06,0.00014016425920193,3.58251616919763
"KEGG_LYSOSOME",0.488233447031219,0.0292701441818919,5.40488312621511,1.1665109329894e-05,0.000180809194613357,3.24917776460235
"KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.321806274944592,0.0137328034638668,5.35283492785749,1.3369560180765e-05,0.000191287553355561,3.11615917873093
"KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",0.352135401993293,0.00298804867615396,5.23372651415853,1.82759595075095e-05,0.000242809176314055,2.81137053301759
"KEGG_AUTOIMMUNE_THYROID_DISEASE",0.511520371553011,0.00749287253514231,4.86523083081698,4.82308149718048e-05,0.000598062105650379,1.86655231826548
"KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",0.345229603216337,0.00899906626284184,4.68192391100703,7.82247137215539e-05,0.000878167750811276,1.39669717088678
"KEGG_HEMATOPOIETIC_CELL_LINEAGE",0.318357600915156,0.0123725591449279,4.67217472836532,8.02626438913532e-05,0.000878167750811276,1.37173102173008
"KEGG_TGF_BETA_SIGNALING_PATHWAY",-0.351639020796778,-0.0123046722256322,-4.63746806197214,8.79575921859633e-05,0.000908895119254954,1.28287894742266
"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.327962446319527,0.00765425191368012,4.53898017371974,0.000114040885270535,0.00108497229894583,1.03100649096545
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES",0.418648060514253,0.00360049684943604,4.53035363947482,0.000116663688058692,0.00108497229894583,1.00896664331541
"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",0.345753146727778,0.00321294785736534,4.47624841743461,0.000134540545828526,0.00119164483448123,0.870825710927594
"KEGG_SPLICEOSOME",-0.430106979490323,-0.0345382964827895,-4.45583047753819,0.000141974309532667,0.00120032825332164,0.818739034390423
"KEGG_N_GLYCAN_BIOSYNTHESIS",0.384183084484698,0.0119085310676895,4.26137779931957,0.000236749502101149,0.00191458293003538,0.324173857111165
"KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM",0.343342024350949,0.0275522491582746,4.15646058671415,0.000311708939856094,0.00232007829400147,0.0587066603773874
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",-0.281465800472337,-0.0145283049276377,-4.15630189560427,0.000311838480376542,0.00232007829400147,0.0583059951649751
"KEGG_CIRCADIAN_RHYTHM_MAMMAL",-0.487241675236678,-0.0425312973235157,-4.03928542430475,0.00042340935013592,0.00302900535097235,-0.236343182572603
"KEGG_FOLATE_BIOSYNTHESIS",0.418109350311257,0.00566166618525307,4.01200736617463,0.000454625242178261,0.00313186277945024,-0.304785000932226
"KEGG_VIBRIO_CHOLERAE_INFECTION",0.343236107458202,0.00578598080683578,3.94649892690873,0.000539162458127921,0.00357840254209429,-0.468732888608691
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES",0.442536174483681,0.0168172634121749,3.93334092319462,0.000557922976993195,0.00357840254209429,-0.501589311702005
"KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY",0.227081543692385,0.006620799616189,3.86283472145645,0.00066993824777905,0.00415361713623011,-0.677198600201924
"KEGG_SULFUR_METABOLISM",0.460654255169781,0.0273891367522278,3.80922465929145,0.000769641915817742,0.00461785149490645,-0.810188950286276
"KEGG_TYROSINE_METABOLISM",-0.26424373563024,0.00136709707143524,-3.73628157282531,0.000929013784832261,0.00539989262433751,-0.990336489163901
"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",-0.237929855773406,-0.00875685103607496,-3.64329745922099,0.00117965352730171,0.00664895624479145,-1.21852570924355
"KEGG_OTHER_GLYCAN_DEGRADATION",0.450448188878918,0.0223412754535175,3.25594471843999,0.00314099158028677,0.0171830715862747,-2.14793796374319
"KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION",0.257276963301142,0.00388769920239646,3.23984974798723,0.00326932681872844,0.0171850757721862,-2.18569655910869
"KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT",0.289943115589747,0.0137071400754042,3.23245803500612,0.00332994475073742,0.0171850757721862,-2.2030116534941
"KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY",0.225977439512295,0.00480093076497439,3.22188505273062,0.00341853657833812,0.0171850757721862,-2.22775041764365
"KEGG_ERBB_SIGNALING_PATHWAY",-0.215303373615213,-0.0072267207930942,-3.1982151222315,0.00362516912184848,0.0177442488595742,-2.28301074127816
"KEGG_ETHER_LIPID_METABOLISM",0.276037968065914,-0.00918242940036888,3.14045316358388,0.00418105213024633,0.0199404024673286,-2.41713263899095
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",0.307475230844926,0.0182439624530937,3.1244814302432,0.00434865808457745,0.0202212600932851,-2.45403101263612
