"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ZBTB7C",-0.609349891778085,5.36447647517752,-9.29052682493562,2.48683841653133e-09,3.29182801196252e-05,11.2771154340226
"RNF34",0.571257204010014,9.81039682254859,8.68208983888379,8.64010819054488e-09,5.71845560591213e-05,10.1426724636842
"HS6ST1",-0.606170309139025,6.50214727085729,-8.25472211217214,2.13331200465392e-08,9.41288366853465e-05,9.31208648082961
"SRPR",-1.40266517433659,7.31897496543279,-8.11517378098057,2.88079508731784e-08,9.53327114270658e-05,9.03479999313712
"DENND1B",0.843097011747065,8.42990427551469,7.77080230644319,6.11333166460611e-08,0.000146787539644371,8.33773511944601
"HCP5",1.15515065562971,8.43490853340377,7.73249530715488,6.65351090025099e-08,0.000146787539644371,8.25907396865835
"HNRNPUL2",-0.786261185195755,8.80140001956979,-7.646095351396,8.05938609105388e-08,0.000152402990981829,8.080836369726
"MUC5AC",-0.559929633177649,8.08598161359178,-7.52267952923637,1.06161281199569e-07,0.000156588409631491,7.82427267549519
"PPP3CA",-0.599505955544509,10.9406671935118,-7.52139878655813,1.06466396213902e-07,0.000156588409631491,7.82159812027795
"SMC2",0.953441573816937,6.91663316751746,7.44119528749213,1.27483222179765e-07,0.000161801647695204,7.65361811089015
"HADHA",-1.30355353679316,9.61140192059172,-7.41755393307231,1.34457817076924e-07,0.000161801647695204,7.60391860160268
"FAS",0.954392927414446,9.25274054152186,7.20968544799431,2.15454558178411e-07,0.000221270427123237,7.16334112791558
"AAMP",-0.648172036517171,9.14955750925064,-7.20593052502143,2.17308721961326e-07,0.000221270427123237,7.15532364737199
"GABARAPL1",-1.02339328445354,9.04594443568972,-7.1195256257369,2.64808301495832e-07,0.000234469742223995,6.97026018218714
"TMEM259",-1.30046027712506,7.41317946930064,-7.10851549448793,2.71582446952231e-07,0.000234469742223995,6.94659995291779
"MICB",0.965693200804155,8.40510423618593,7.05208816084687,3.09193424145323e-07,0.000234469742223995,6.82506324052665
"AIM2",2.0516295325984,8.66746191263684,7.04254186868617,3.16065718955797e-07,0.000234469742223995,6.80445610217136
"HIST3H2A",-0.51890270842442,9.00730981358679,-7.03875126612711,3.18837754780683e-07,0.000234469742223995,6.79626984252323
"CXCL10",2.38522614985088,9.86680294923144,6.88695466209002,4.52991306922415e-07,0.000315591891038527,6.46674797068698
"NADK",-0.860249675808957,7.41700734568952,-6.79228333545449,5.64744810781043e-07,0.000360497423543803,6.25957462619436
"LEPROTL1",0.698091718746351,9.63149953598605,6.78688063296812,5.71915531798736e-07,0.000360497423543803,6.24771367263761
"TMPO",0.69199629623186,8.14961281766494,6.75868882722017,6.10872725701133e-07,0.000366842649416169,6.18575602162509
"PLCG2",0.97441626532623,9.70970847150626,6.70362868570184,6.94973273853041e-07,0.000366842649416169,6.06443105905354
"XPO7",-0.912656063305481,8.1760211907657,-6.69475624300818,7.09594060780247e-07,0.000366842649416169,6.04484146533143
"SZRD1",-0.803764412068895,9.75089014317495,-6.68224410362322,7.30748901375318e-07,0.000366842649416169,6.01719733801812
"IRF2",0.511085409953635,9.58973947120765,6.67296676879524,7.46849905880488e-07,0.000366842649416169,5.99668626649251
"GLOD4",0.537901990066261,9.27648670735113,6.66525546619747,7.60508782181734e-07,0.000366842649416169,5.97962853080413
"AIM1",1.10016723856781,9.8237398298878,6.65579432710074,7.77616559043255e-07,0.000366842649416169,5.95868897102186
"FRYL",0.680964440579982,8.517999664034,6.64177680155185,8.03689418529039e-07,0.000366842649416169,5.92764267598219
"MREG",1.49537997280779,6.51570587338936,6.57951174630613,9.30752729289389e-07,0.000410679129253455,5.78941445059541
"BTN2A2",0.925733600569049,8.76324575887513,6.5507706626972,9.96156495601371e-07,0.000425358823621785,5.72543308287741
"ATM",1.04863979192822,7.9513577002098,6.5280586709007,1.05114920271711e-06,0.000434814437386451,5.67479513295215
"CXCL9",3.13009256281532,9.98516012107554,6.50999697222032,1.09708941256497e-06,0.000440065834973411,5.6344763502625
"UXS1",0.534371030654601,8.86991002347378,6.44571112176914,1.27791088435679e-06,0.000497520775771495,5.49062297954002
"TTC38",-0.484488942707759,8.27036798434453,-6.4131814196848,1.38073054605116e-06,0.000522192292516549,5.41762486658804
"POLR2F",-0.389414921200422,8.90960149534995,-6.37524630586348,1.51136576561319e-06,0.000529660059726884,5.33232391410615
"RMI1",0.730171936997101,7.32902652678609,6.37441405456529,1.51436904834366e-06,0.000529660059726884,5.33045043903325
"IL15",0.986548161163545,8.78349423820834,6.36199811364439,1.5599035404595e-06,0.000529660059726884,5.30249047734304
"IGHM",4.03508291601707,10.1903226021298,6.35981323449907,1.56805980966557e-06,0.000529660059726884,5.29756822103604
