Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"PTPN22","Protein Tyrosine Phosphatase Non-Receptor Type 22","Protein Coding","47","GC01M113813","66.7615051269531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN22"
"IL10","Interleukin 10","Protein Coding","45","GC01M206767","62.8122940063477","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10"
"IL6","Interleukin 6","Protein Coding","47","GC07P022725","60.5318336486816","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"CIITA","Class II Major Histocompatibility Complex Transactivator","Protein Coding","43","GC16P012093","56.4226684570313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CIITA"
"HLA-DRB1","Major Histocompatibility Complex, Class II, DR Beta 1","Protein Coding","46","GC06M066007","55.3478775024414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB1"
"SLC22A4","Solute Carrier Family 22 Member 4","Protein Coding","44","GC05P132294","50.9113006591797","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC22A4"
"IRF5","Interferon Regulatory Factor 5","Protein Coding","45","GC07P128937","47.9091567993164","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF5"
"MIF","Macrophage Migration Inhibitory Factor","Protein Coding","46","GC22P023894","45.9181671142578","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIF"
"CD244","CD244 Molecule","Protein Coding","42","GC01M160830","45.4843559265137","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD244"
"NFKBIL1","NFKB Inhibitor Like 1","Protein Coding","37","GC06P083692","45.2048377990723","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKBIL1"
"TNF","Tumor Necrosis Factor","Protein Coding","49","GC06P083695","45.1590766906738","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"MIR146A","MicroRNA 146a","RNA Gene","22","GC05P160485","39.1574249267578","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146A"
"TLR1","Toll Like Receptor 1","Protein Coding","45","GC04M038793","38.052490234375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR1"
"MIR155","MicroRNA 155","RNA Gene","21","GC21P025573","37.5042991638184","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR155"
"CHRNG","Cholinergic Receptor Nicotinic Gamma Subunit","Protein Coding","40","GC02P232539","35.9027061462402","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNG"
"PADI4","Peptidyl Arginine Deiminase 4","Protein Coding","42","GC01P017308","34.8190574645996","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PADI4"
"MIR132","MicroRNA 132","RNA Gene","22","GC17M002049","34.420352935791","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR132"
"MIR150","MicroRNA 150","RNA Gene","22","GC19M049500","33.5828857421875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR150"
"STAT4","Signal Transducer And Activator Of Transcription 4","Protein Coding","45","GC02M191029","33.1236419677734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT4"
"IL2RA","Interleukin 2 Receptor Subunit Alpha","Protein Coding","48","GC10M006010","28.4735450744629","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RA"
"CRP","C-Reactive Protein","Protein Coding","44","GC01M159727","26.0458183288574","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP"
"CTLA4","Cytotoxic T-Lymphocyte Associated Protein 4","Protein Coding","44","GC02P203854","25.1215534210205","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTLA4"
"IL1B","Interleukin 1 Beta","Protein Coding","45","GC02M112829","25.0910358428955","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"ACP5","Acid Phosphatase 5, Tartrate Resistant","Protein Coding","45","GC19M011574","23.1787147521973","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACP5"
"IL17A","Interleukin 17A","Protein Coding","40","GC06P052186","22.646354675293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17A"
"FCRL3","Fc Receptor Like 3","Protein Coding","37","GC01M157674","22.1683197021484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCRL3"
"IL2RB","Interleukin 2 Receptor Subunit Beta","Protein Coding","46","GC22M037125","22.0753269195557","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RB"
"TNFRSF1B","TNF Receptor Superfamily Member 1B","Protein Coding","45","GC01P012235","21.6546497344971","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1B"
"IL1RN","Interleukin 1 Receptor Antagonist","Protein Coding","46","GC02P122460","21.5678291320801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1RN"
"IL2","Interleukin 2","Protein Coding","43","GC04M122451","20.7400169372559","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2"
"MACIR","Macrophage Immunometabolism Regulator","Protein Coding","24","GC05P103259","20.3943424224854","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MACIR"
"TRAF1","TNF Receptor Associated Factor 1","Protein Coding","41","GC09M120902","20.35129737854","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAF1"
"IFNG","Interferon Gamma","Protein Coding","46","GC12M068154","20.3347835540771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
"CCL2","C-C Motif Chemokine Ligand 2","Protein Coding","46","GC17P034255","20.3092842102051","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2"
"IL18","Interleukin 18","Protein Coding","41","GC11M112143","19.9430351257324","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL18"
"CD40","CD40 Molecule","Protein Coding","46","GC20P046118","19.3480014801025","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD40"
"MMP3","Matrix Metallopeptidase 3","Protein Coding","48","GC11M102835","19.1144351959229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP3"
"COMP","Cartilage Oligomeric Matrix Protein","Protein Coding","45","GC19M018783","18.9545860290527","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COMP"
"CXCL8","C-X-C Motif Chemokine Ligand 8","Protein Coding","38","GC04P073740","18.8851280212402","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8"
"TTR","Transthyretin","Protein Coding","46","GC18P031557","18.7023677825928","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTR"
"SAA1","Serum Amyloid A1","Protein Coding","40","GC11P018510","18.6275444030762","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAA1"
