DRUG_NAME,feature1,GENE,feature2
fluorouracil,drug,TYMS,gene
aminoquinuride,drug,MMP1,gene
amiodarone,drug,CCR2,gene
astemizole,drug,EGFR,gene
bacitracin,drug,EGFR,gene
bortezomib,drug,PSMB9,gene
candesartan cilexetil,drug,EGFR,gene
capecitabine,drug,TYMS,gene
cefotetan,drug,MMP1,gene
cefapirin,drug,MMP1,gene
chlorpromazine,drug,EGFR,gene
clomifene,drug,EGFR,gene
clotrimazole,drug,EGFR,gene
cyclovalone,drug,JUN,gene
dasatinib,drug,EGFR,gene
disulfiram,drug,CCR5,gene
disulfiram,drug,CCR2,gene
dobutamine,drug,EGFR,gene
docetaxel,drug,EGFR,gene
doxazosin,drug,MMP1,gene
doxifluridine,drug,TYMS,gene
ebastine,drug,EGFR,gene
econazole,drug,EGFR,gene
erlotinib,drug,EGFR,gene
floxuridine,drug,TYMS,gene
fluphenazine,drug,EGFR,gene
folic acid,drug,TYMS,gene
leucovorin,drug,TYMS,gene
gefitinib,drug,EGFR,gene
gemcitabine,drug,TYMS,gene
hexachlorophene,drug,EGFR,gene
imatinib,drug,EGFR,gene
diiodohydroxyquinoline,drug,EGFR,gene
irinotecan,drug,MMP1,gene
lapatinib,drug,EGFR,gene
levodopa,drug,EGFR,gene
maraviroc,drug,CCR5,gene
maraviroc,drug,CCR5,gene
methotrexate,drug,TYMS,gene
methyldopa,drug,EGFR,gene
miconazole,drug,EGFR,gene
mitoxantrone,drug,EGFR,gene
montelukast,drug,EGFR,gene
nelfinavir,drug,EGFR,gene
niclosamide,drug,EGFR,gene
nifedipine,drug,CCR2,gene
nimesulide,drug,MMP1,gene
pemetrexed,drug,TYMS,gene
perhexiline,drug,EGFR,gene
phenolphthalein,drug,TYMS,gene
raltitrexed,drug,TYMS,gene
sirolimus,drug,FKBP5,gene
sorafenib,drug,EGFR,gene
sulfasalazine,drug,MMP1,gene
suloctidil,drug,EGFR,gene
sunitinib,drug,EGFR,gene
tacrolimus,drug,FKBP5,gene
tamoxifen,drug,EGFR,gene
terfenadine,drug,EGFR,gene
terfenadine,drug,CCR5,gene
thioridazine,drug,EGFR,gene
ubenimex,drug,LAP3,gene
ubenimex,drug,LAP3,gene
ubenimex,drug,LAP3,gene
ubenimex,drug,LAP3,gene
zafirlukast,drug,EGFR,gene
bithionol,drug,EGFR,gene
quercetin,drug,EGFR,gene
quercetin,drug,LAP3,gene
ruboxistaurin,drug,EGFR,gene
alitretinoin,drug,NR4A1,gene
tirilazad,drug,EGFR,gene
gentian violet,drug,EGFR,gene
vandetanib,drug,EGFR,gene
crizotinib,drug,EGFR,gene
prazosin,drug,MMP1,gene
axitinib,drug,EGFR,gene
afatinib,drug,EGFR,gene
zinc chloride,drug,EGFR,gene
bosutinib,drug,EGFR,gene
cisplatin,drug,EGFR,gene
cisplatin,drug,CCR2,gene
plerixafor,drug,CCR2,gene
colistin,drug,EGFR,gene
carfilzomib,drug,PSMB9,gene
levomefolic acid,drug,TYMS,gene
sodium aurothiomalate,drug,EGFR,gene
cabozantinib,drug,EGFR,gene
ibrutinib,drug,EGFR,gene
ceritinib,drug,EGFR,gene
alemtuzumab,drug,CD52,gene
lenvatinib,drug,EGFR,gene
ofatumumab,drug,MS4A1,gene
cetuximab,drug,EGFR,gene
panitumumab,drug,EGFR,gene
rituximab,drug,MS4A1,gene
obinutuzumab,drug,MS4A1,gene
ibritumomab tiuxetan,drug,MS4A1,gene
osimertinib,drug,EGFR,gene
necitumumab,drug,EGFR,gene
alefacept,drug,CD2,gene
chromic chloride,drug,EGFR,gene
icotinib,drug,EGFR,gene
olmutinib,drug,EGFR,gene
ocrelizumab,drug,MS4A1,gene
midostaurin,drug,EGFR,gene
brigatinib,drug,EGFR,gene
neratinib,drug,EGFR,gene
dacomitinib,drug,EGFR,gene
fedratinib,drug,EGFR,gene
selumetinib,drug,EGFR,gene
tucatinib,drug,EGFR,gene
abametapir,drug,CCR5,gene
abametapir,drug,CCR5,gene
belantamab mafodotin,drug,TNFRSF17,gene
