"","Gene Symbol","Representative miRNA"
"142702","ADAM28","hsa-miR-489-3p"
"142703","ADAM28","hsa-miR-16-5p"
"142704","ADAM28","hsa-miR-21-5p"
"142705","ADAM28","hsa-miR-1-5p"
"142706","ADAM28","hsa-miR-148a-3p"
"142707","ADAM28","hsa-miR-129-5p"
"142708","ADAM28","hsa-miR-142-5p"
"142709","ADAM28","hsa-miR-132-3p"
"142710","ADAM28","hsa-miR-200b-3p"
"142711","ADAM28","hsa-miR-23a-3p"
"142712","ADAM28","hsa-miR-375"
"142713","ADAM28","hsa-miR-383-5p.1"
"142714","ADAM28","hsa-miR-144-3p"
"142715","ADAM28","hsa-miR-181a-5p"
"142716","ADAM28","hsa-miR-219a-5p"
"142717","ADAM28","hsa-miR-106a-5p"
"142718","ADAM28","hsa-miR-141-3p"
"142719","ADAM28","hsa-miR-451a"
"142720","ADAM28","hsa-miR-490-3p"
"142721","ADAM28","hsa-miR-216a-5p"
"142722","ADAM28","hsa-miR-216b-5p"
"142723","ADAM28","hsa-miR-101-3p.1"
"142724","ADAM28","hsa-miR-217"
"142725","ADAM28","hsa-miR-193a-3p"
"142726","ADAM28","hsa-miR-22-3p"
"142727","ADAM28","hsa-miR-196a-5p"
"142728","ADAM28","hsa-miR-130a-3p"
"142729","ADAM28","hsa-miR-140-5p"
"142730","ADAM28","hsa-miR-135a-5p"
"142731","ADAM28","hsa-miR-455-5p"
"142732","ADAM28","hsa-miR-338-3p"
"142733","ADAM28","hsa-miR-125b-5p"
"142734","ADAM28","hsa-miR-205-5p"
"142735","ADAM28","hsa-miR-143-3p"
"142736","ADAM28","hsa-let-7d-5p"
"142737","ADAM28","hsa-miR-222-3p"
"142738","ADAM28","hsa-miR-7-5p"
"142739","ADAM28","hsa-miR-24-3p"
"142740","ADAM28","hsa-miR-193a-5p"
"142741","ADAM28","hsa-miR-30b-5p"
"142742","ADAM28","hsa-miR-194-5p"
"142743","ADAM28","hsa-miR-19a-3p"
"142744","ADAM28","hsa-miR-142-3p.2"
"142745","ADAM28","hsa-miR-137"
"142746","ADAM28","hsa-miR-145-5p"
"142747","ADAM28","hsa-miR-204-5p"
"142748","ADAM28","hsa-miR-202-5p"
"142749","ADAM28","hsa-miR-203a-3p.2"
"142750","ADAM28","hsa-miR-455-3p.2"
"142751","ADAM28","hsa-miR-548ac"
"142752","ADAM28","hsa-miR-548ae-3p"
"142753","ADAM28","hsa-miR-548c-3p"
"142754","ADAM28","hsa-miR-548aa"
"142755","ADAM28","hsa-miR-548as-3p"
"142756","ADAM28","hsa-miR-548at-3p"
"142757","ADAM28","hsa-miR-548a-3p"
"142758","ADAM28","hsa-miR-548e-5p"
"142759","ADAM28","hsa-miR-548n"
"142760","ADAM28","hsa-miR-548az-5p"
"142761","ADAM28","hsa-miR-4668-3p"
"142762","ADAM28","hsa-miR-3662"
"142763","ADAM28","hsa-miR-4282"
"142764","ADAM28","hsa-miR-497-3p"
"142765","ADAM28","hsa-miR-1537-3p"
