"","node","type"
"142702","ADAM28","gene"
"142703","ADAM28","gene"
"142704","ADAM28","gene"
"142705","ADAM28","gene"
"142706","ADAM28","gene"
"142707","ADAM28","gene"
"142708","ADAM28","gene"
"142709","ADAM28","gene"
"142710","ADAM28","gene"
"142711","ADAM28","gene"
"142712","ADAM28","gene"
"142713","ADAM28","gene"
"142714","ADAM28","gene"
"142715","ADAM28","gene"
"142716","ADAM28","gene"
"142717","ADAM28","gene"
"142718","ADAM28","gene"
"142719","ADAM28","gene"
"142720","ADAM28","gene"
"142721","ADAM28","gene"
"142722","ADAM28","gene"
"142723","ADAM28","gene"
"142724","ADAM28","gene"
"142725","ADAM28","gene"
"142726","ADAM28","gene"
"142727","ADAM28","gene"
"142728","ADAM28","gene"
"142729","ADAM28","gene"
"142730","ADAM28","gene"
"142731","ADAM28","gene"
"142732","ADAM28","gene"
"142733","ADAM28","gene"
"142734","ADAM28","gene"
"142735","ADAM28","gene"
"142736","ADAM28","gene"
"142737","ADAM28","gene"
"142738","ADAM28","gene"
"142739","ADAM28","gene"
"142740","ADAM28","gene"
"142741","ADAM28","gene"
"142742","ADAM28","gene"
"142743","ADAM28","gene"
"142744","ADAM28","gene"
"142745","ADAM28","gene"
"142746","ADAM28","gene"
"142747","ADAM28","gene"
"142748","ADAM28","gene"
"142749","ADAM28","gene"
"142750","ADAM28","gene"
"142751","ADAM28","gene"
"142752","ADAM28","gene"
"142753","ADAM28","gene"
"142754","ADAM28","gene"
"142755","ADAM28","gene"
"142756","ADAM28","gene"
"142757","ADAM28","gene"
"142758","ADAM28","gene"
"142759","ADAM28","gene"
"142760","ADAM28","gene"
"142761","ADAM28","gene"
"142762","ADAM28","gene"
"142763","ADAM28","gene"
"142764","ADAM28","gene"
"142765","ADAM28","gene"
"142766","ADAM28","gene"
"142767","ADAM28","gene"
"142768","ADAM28","gene"
"142769","ADAM28","gene"
"142770","ADAM28","gene"
"142771","ADAM28","gene"
"142772","ADAM28","gene"
"142773","ADAM28","gene"
"142774","ADAM28","gene"
"142775","ADAM28","gene"
"142776","ADAM28","gene"
"142777","ADAM28","gene"
"142778","ADAM28","gene"
"142779","ADAM28","gene"
"142780","ADAM28","gene"
"142781","ADAM28","gene"
"142782","ADAM28","gene"
"142783","ADAM28","gene"
"142784","ADAM28","gene"
"142785","ADAM28","gene"
"142786","ADAM28","gene"
"142787","ADAM28","gene"
"142788","ADAM28","gene"
"142789","ADAM28","gene"
"142790","ADAM28","gene"
"142791","ADAM28","gene"
"142792","ADAM28","gene"
"142793","ADAM28","gene"
"142794","ADAM28","gene"
"142795","ADAM28","gene"
"142796","ADAM28","gene"
"142797","ADAM28","gene"
"142798","ADAM28","gene"
"142799","ADAM28","gene"
"142800","ADAM28","gene"
"142801","ADAM28","gene"
"142802","ADAM28","gene"
"142803","ADAM28","gene"
"142804","ADAM28","gene"
"142805","ADAM28","gene"
"142806","ADAM28","gene"
"142807","ADAM28","gene"
"142808","ADAM28","gene"
"142809","ADAM28","gene"
"142810","ADAM28","gene"
"142811","ADAM28","gene"
"142812","ADAM28","gene"
"142813","ADAM28","gene"
"142814","ADAM28","gene"
"142815","ADAM28","gene"
"142816","ADAM28","gene"
"142817","ADAM28","gene"
"142818","ADAM28","gene"
"142819","ADAM28","gene"
"142820","ADAM28","gene"
"142821","ADAM28","gene"
"142822","ADAM28","gene"
"142823","ADAM28","gene"
"142824","ADAM28","gene"
"142825","ADAM28","gene"
"142826","ADAM28","gene"
"142827","ADAM28","gene"
"142828","ADAM28","gene"
"142829","ADAM28","gene"
"142830","ADAM28","gene"
"142831","ADAM28","gene"
"142832","ADAM28","gene"
"142833","ADAM28","gene"
"142834","ADAM28","gene"
"142835","ADAM28","gene"
"142836","ADAM28","gene"
"142837","ADAM28","gene"
"142838","ADAM28","gene"
"142839","ADAM28","gene"
"142840","ADAM28","gene"
"142841","ADAM28","gene"
"142842","ADAM28","gene"
"142843","ADAM28","gene"
"142844","ADAM28","gene"
"142845","ADAM28","gene"
"142846","ADAM28","gene"
"142847","ADAM28","gene"
"142848","ADAM28","gene"
"142849","ADAM28","gene"
"142850","ADAM28","gene"
"142851","ADAM28","gene"
"142852","ADAM28","gene"
"142853","ADAM28","gene"
"142854","ADAM28","gene"
"142855","ADAM28","gene"
"142856","ADAM28","gene"
"142857","ADAM28","gene"
"142858","ADAM28","gene"
"142859","ADAM28","gene"
"142860","ADAM28","gene"
"142861","ADAM28","gene"
"142862","ADAM28","gene"
"142863","ADAM28","gene"
"142864","ADAM28","gene"
"142865","ADAM28","gene"
"142866","ADAM28","gene"
"142867","ADAM28","gene"
"142868","ADAM28","gene"
"142869","ADAM28","gene"
"142870","ADAM28","gene"
"142871","ADAM28","gene"
"142872","ADAM28","gene"
"142873","ADAM28","gene"
"142874","ADAM28","gene"
"142875","ADAM28","gene"
"142876","ADAM28","gene"
"142877","ADAM28","gene"
"142878","ADAM28","gene"
"142879","ADAM28","gene"
"142880","ADAM28","gene"
"142881","ADAM28","gene"
"142882","ADAM28","gene"
