"name","selected","shared name","type"
"hsa-miR-489-3p","false","hsa-miR-489-3p","miRNA"
"ADAM28","false","ADAM28","gene"
"hsa-miR-16-5p","false","hsa-miR-16-5p","miRNA"
"hsa-miR-21-5p","false","hsa-miR-21-5p","miRNA"
"hsa-miR-1-5p","false","hsa-miR-1-5p","miRNA"
"hsa-miR-148a-3p","false","hsa-miR-148a-3p","miRNA"
"hsa-miR-129-5p","false","hsa-miR-129-5p","miRNA"
"hsa-miR-142-5p","false","hsa-miR-142-5p","miRNA"
"hsa-miR-132-3p","false","hsa-miR-132-3p","miRNA"
"hsa-miR-200b-3p","false","hsa-miR-200b-3p","miRNA"
"hsa-miR-23a-3p","false","hsa-miR-23a-3p","miRNA"
"hsa-miR-375","false","hsa-miR-375","miRNA"
"hsa-miR-383-5p.1","false","hsa-miR-383-5p.1","miRNA"
"hsa-miR-144-3p","false","hsa-miR-144-3p","miRNA"
"hsa-miR-181a-5p","false","hsa-miR-181a-5p","miRNA"
"hsa-miR-219a-5p","false","hsa-miR-219a-5p","miRNA"
"hsa-miR-106a-5p","false","hsa-miR-106a-5p","miRNA"
"hsa-miR-141-3p","false","hsa-miR-141-3p","miRNA"
"hsa-miR-451a","false","hsa-miR-451a","miRNA"
"hsa-miR-490-3p","false","hsa-miR-490-3p","miRNA"
"hsa-miR-216a-5p","false","hsa-miR-216a-5p","miRNA"
"hsa-miR-216b-5p","false","hsa-miR-216b-5p","miRNA"
"hsa-miR-101-3p.1","false","hsa-miR-101-3p.1","miRNA"
"hsa-miR-217","false","hsa-miR-217","miRNA"
"hsa-miR-193a-3p","false","hsa-miR-193a-3p","miRNA"
"hsa-miR-22-3p","false","hsa-miR-22-3p","miRNA"
"hsa-miR-196a-5p","false","hsa-miR-196a-5p","miRNA"
"hsa-miR-130a-3p","false","hsa-miR-130a-3p","miRNA"
"hsa-miR-140-5p","false","hsa-miR-140-5p","miRNA"
"hsa-miR-135a-5p","false","hsa-miR-135a-5p","miRNA"
"hsa-miR-455-5p","false","hsa-miR-455-5p","miRNA"
"hsa-miR-338-3p","false","hsa-miR-338-3p","miRNA"
"hsa-miR-125b-5p","false","hsa-miR-125b-5p","miRNA"
"hsa-miR-205-5p","false","hsa-miR-205-5p","miRNA"
"hsa-miR-143-3p","false","hsa-miR-143-3p","miRNA"
"hsa-let-7d-5p","false","hsa-let-7d-5p","miRNA"
"hsa-miR-222-3p","false","hsa-miR-222-3p","miRNA"
"hsa-miR-7-5p","false","hsa-miR-7-5p","miRNA"
"hsa-miR-24-3p","false","hsa-miR-24-3p","miRNA"
"hsa-miR-193a-5p","false","hsa-miR-193a-5p","miRNA"
"hsa-miR-30b-5p","false","hsa-miR-30b-5p","miRNA"
"hsa-miR-194-5p","false","hsa-miR-194-5p","miRNA"
"hsa-miR-19a-3p","false","hsa-miR-19a-3p","miRNA"
"hsa-miR-142-3p.2","false","hsa-miR-142-3p.2","miRNA"
"hsa-miR-137","false","hsa-miR-137","miRNA"
"hsa-miR-145-5p","false","hsa-miR-145-5p","miRNA"
"hsa-miR-204-5p","false","hsa-miR-204-5p","miRNA"
"hsa-miR-202-5p","false","hsa-miR-202-5p","miRNA"
"hsa-miR-203a-3p.2","false","hsa-miR-203a-3p.2","miRNA"
"hsa-miR-455-3p.2","false","hsa-miR-455-3p.2","miRNA"
"hsa-miR-548ac","false","hsa-miR-548ac","miRNA"
"hsa-miR-548ae-3p","false","hsa-miR-548ae-3p","miRNA"
"hsa-miR-548c-3p","false","hsa-miR-548c-3p","miRNA"
"hsa-miR-548aa","false","hsa-miR-548aa","miRNA"
"hsa-miR-548as-3p","false","hsa-miR-548as-3p","miRNA"
"hsa-miR-548at-3p","false","hsa-miR-548at-3p","miRNA"
"hsa-miR-548a-3p","false","hsa-miR-548a-3p","miRNA"
"hsa-miR-548e-5p","false","hsa-miR-548e-5p","miRNA"
"hsa-miR-548n","false","hsa-miR-548n","miRNA"
"hsa-miR-548az-5p","false","hsa-miR-548az-5p","miRNA"
"hsa-miR-4668-3p","false","hsa-miR-4668-3p","miRNA"
"hsa-miR-3662","false","hsa-miR-3662","miRNA"
"hsa-miR-4282","false","hsa-miR-4282","miRNA"
"hsa-miR-497-3p","false","hsa-miR-497-3p","miRNA"
"hsa-miR-1537-3p","false","hsa-miR-1537-3p","miRNA"
"hsa-miR-7844-5p","false","hsa-miR-7844-5p","miRNA"
"hsa-miR-548av-3p","false","hsa-miR-548av-3p","miRNA"
"hsa-miR-548g-3p","false","hsa-miR-548g-3p","miRNA"
"hsa-miR-3133","false","hsa-miR-3133","miRNA"
"hsa-miR-186-5p","false","hsa-miR-186-5p","miRNA"
"hsa-miR-4311","false","hsa-miR-4311","miRNA"
"hsa-miR-6835-3p","false","hsa-miR-6835-3p","miRNA"
"hsa-miR-4422","false","hsa-miR-4422","miRNA"
"hsa-miR-320a","false","hsa-miR-320a","miRNA"
"hsa-miR-6768-3p","false","hsa-miR-6768-3p","miRNA"
"hsa-miR-548ap-5p","false","hsa-miR-548ap-5p","miRNA"
"hsa-miR-548av-5p","false","hsa-miR-548av-5p","miRNA"
"hsa-miR-548l","false","hsa-miR-548l","miRNA"
"hsa-miR-3609","false","hsa-miR-3609","miRNA"
"hsa-miR-548at-5p","false","hsa-miR-548at-5p","miRNA"
"hsa-miR-561-3p","false","hsa-miR-561-3p","miRNA"
"hsa-miR-5692a","false","hsa-miR-5692a","miRNA"
"hsa-miR-551b-5p","false","hsa-miR-551b-5p","miRNA"
"hsa-miR-3646","false","hsa-miR-3646","miRNA"
"hsa-miR-1252-3p","false","hsa-miR-1252-3p","miRNA"
"hsa-miR-4694-3p","false","hsa-miR-4694-3p","miRNA"
"hsa-miR-10a-3p","false","hsa-miR-10a-3p","miRNA"
"hsa-miR-3606-3p","false","hsa-miR-3606-3p","miRNA"
"hsa-miR-495-3p","false","hsa-miR-495-3p","miRNA"
"hsa-miR-7-1-3p","false","hsa-miR-7-1-3p","miRNA"
"hsa-miR-4803","false","hsa-miR-4803","miRNA"
"hsa-miR-543","false","hsa-miR-543","miRNA"
"hsa-miR-652-5p","false","hsa-miR-652-5p","miRNA"
"hsa-miR-6732-3p","false","hsa-miR-6732-3p","miRNA"
"hsa-miR-3129-3p","false","hsa-miR-3129-3p","miRNA"
"hsa-miR-582-3p","false","hsa-miR-582-3p","miRNA"
"hsa-miR-6507-5p","false","hsa-miR-6507-5p","miRNA"
"hsa-miR-8087","false","hsa-miR-8087","miRNA"
"hsa-miR-3156-5p","false","hsa-miR-3156-5p","miRNA"
"hsa-miR-99a-3p","false","hsa-miR-99a-3p","miRNA"
"hsa-miR-6796-3p","false","hsa-miR-6796-3p","miRNA"
"hsa-miR-320e","false","hsa-miR-320e","miRNA"
"hsa-miR-651-3p","false","hsa-miR-651-3p","miRNA"
"hsa-miR-4428","false","hsa-miR-4428","miRNA"
"hsa-miR-3173-3p","false","hsa-miR-3173-3p","miRNA"
"hsa-miR-541-5p","false","hsa-miR-541-5p","miRNA"
"hsa-miR-4753-5p","false","hsa-miR-4753-5p","miRNA"
"hsa-miR-548ba","false","hsa-miR-548ba","miRNA"
"hsa-miR-562","false","hsa-miR-562","miRNA"
"hsa-miR-3184-3p","false","hsa-miR-3184-3p","miRNA"
"hsa-miR-1264","false","hsa-miR-1264","miRNA"
"hsa-miR-595","false","hsa-miR-595","miRNA"
"hsa-miR-495-5p","false","hsa-miR-495-5p","miRNA"
"hsa-miR-382-5p","false","hsa-miR-382-5p","miRNA"
"hsa-miR-1277-5p","false","hsa-miR-1277-5p","miRNA"
"hsa-miR-4517","false","hsa-miR-4517","miRNA"
"hsa-miR-5583-3p","false","hsa-miR-5583-3p","miRNA"
"hsa-miR-34b-3p","false","hsa-miR-34b-3p","miRNA"
"hsa-miR-500a-5p","false","hsa-miR-500a-5p","miRNA"
"hsa-miR-580-5p","false","hsa-miR-580-5p","miRNA"
"hsa-miR-5197-5p","false","hsa-miR-5197-5p","miRNA"
